# gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false "gmm-boost-silence --boost=1.0 1 exp/mono/4.mdl - |" "ark:gunzip -c exp/mono/fsts.2.gz|" "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split2/2/utt2spk scp:data/train/split2/2/cmvn.scp scp:data/train/split2/2/feats.scp ark:- | add-deltas  ark:- ark:- |" "ark,t:|gzip -c >exp/mono/ali.2.gz" 
# Started at Sun Aug 22 17:28:14 IST 2021
#
gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false 'gmm-boost-silence --boost=1.0 1 exp/mono/4.mdl - |' 'ark:gunzip -c exp/mono/fsts.2.gz|' 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split2/2/utt2spk scp:data/train/split2/2/cmvn.scp scp:data/train/split2/2/feats.scp ark:- | add-deltas  ark:- ark:- |' 'ark,t:|gzip -c >exp/mono/ali.2.gz' 
gmm-boost-silence --boost=1.0 1 exp/mono/4.mdl - 
WARNING (gmm-boost-silence[5.5]:main():gmm-boost-silence.cc:82) The pdfs for the silence phones may be shared by other phones (note: this probably does not matter.)
LOG (gmm-boost-silence[5.5]:main():gmm-boost-silence.cc:93) Boosted weights for 3 pdfs, by factor of 1
LOG (gmm-boost-silence[5.5]:main():gmm-boost-silence.cc:103) Wrote model to -
apply-cmvn --utt2spk=ark:data/train/split2/2/utt2spk scp:data/train/split2/2/cmvn.scp scp:data/train/split2/2/feats.scp ark:- 
add-deltas ark:- ark:- 
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0026
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0027
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0028
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0029
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0030
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0031
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0032
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0033
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0034
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0035
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0036
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0037
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0038
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0039
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0040
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0041
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0042
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0043
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0044
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0045
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0046
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0047
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0048
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0049
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0050
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0051
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0052
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0053
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0054
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0055
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0056
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0057
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0058
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0059
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0060
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0061
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0062
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0063
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0064
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0065
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0066
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0067
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0068
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0069
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0070
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0071
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0072
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0073
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0074
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0075
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0076
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0077
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0078
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0079
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0080
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0001
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0002
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0003
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0004
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0005
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0006
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0007
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0008
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0009
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0010
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0011
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0012
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0013
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0014
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0015
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0016
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0017
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0018
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0019
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0020
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0021
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0022
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0023
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0024
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0025
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0026
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0027
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0028
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0029
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0030
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0031
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0032
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0033
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0034
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0035
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0036
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0037
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0038
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0039
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0040
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0041
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0042
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0043
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0044
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0045
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0046
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0047
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0048
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0049
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0050
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0051
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0052
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0053
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0054
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0055
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0056
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0057
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0058
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0059
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0060
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0061
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0062
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0063
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0064
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0065
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0066
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0067
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0068
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0069
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0070
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0071
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0072
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0073
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0074
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0075
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0076
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0077
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0078
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0079
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS016F0080
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0001
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0002
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0003
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0004
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0005
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0006
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0007
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0008
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0009
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0010
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0011
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0012
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0013
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0014
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0015
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0016
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0017
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0018
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0019
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0020
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0021
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0022
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0023
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0024
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0025
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0026
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0027
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0028
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0029
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0030
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0031
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0032
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0033
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0034
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0035
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0036
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0037
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0038
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0039
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0040
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0041
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0042
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0043
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0044
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0045
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0046
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0047
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0048
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0049
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0050
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0051
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0052
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0053
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0054
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0055
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0056
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0057
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0058
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0059
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0060
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0061
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0062
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0063
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0064
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0065
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0066
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0067
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0068
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0069
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0070
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0071
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0072
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0073
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0074
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0075
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0076
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0077
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0078
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0079
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS017M0080
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0001
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0002
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0003
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0004
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0005
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0006
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0007
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0008
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0009
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0010
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0011
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0012
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0013
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0014
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0015
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0016
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0017
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0018
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0019
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0020
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0021
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0022
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0023
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0024
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0025
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0026
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0027
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0028
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0029
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0030
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0031
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0032
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0033
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0034
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0035
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0036
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0037
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0038
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0039
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0040
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0041
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0042
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0043
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0044
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0045
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS018F0046
